timestamp,indicator,indicator_type,country,country_code,abuse_confidence_score,vt_malicious_count,risk_level,mitre_id,mitre_technique,mitre_tactic,status
2026-08-06 21:58:41,login-verify-update.com,Domain,North Korea,KP,49,44,Critical,T1059,Command and Scripting Interpreter,Execution,Contained
2026-08-07 03:28:41,5.165.234.184,IPv4,Netherlands,NL,5,12,High,T1566,Phishing,Initial Access,Investigating
2026-08-07 05:17:41,login-verify-update.com,Domain,Netherlands,NL,59,41,Critical,T1071,Application Layer Protocol,Command and Control,Contained
2026-08-07 09:03:41,d407be256c44da7098728f481f6213ddcd6e9e59b18d6150c9e0e49cb33cbdbd,File Hash (SHA256),China,CN,44,18,High,T1071,Application Layer Protocol,Command and Control,Investigating
2026-08-07 09:32:41,586524c243adbbe1de008478505ee8fee0e5b86cb1065eda15f91d7267e2a1f2,File Hash (SHA256),Brazil,BR,8,9,Medium,T1059,Command and Scripting Interpreter,Execution,Monitored
2026-08-07 10:47:41,58.16.181.178,IPv4,China,CN,29,64,Critical,T1071,Application Layer Protocol,Command and Control,Active Investigation
2026-08-07 10:56:41,bad-actor-c2.xyz,Domain,Iran,IR,42,19,High,T1110,Brute Force,Credential Access,Investigating
2026-08-07 12:39:41,secure-account-auth.net,Domain,United Kingdom,GB,47,39,Critical,T1003,OS Credential Dumping,Credential Access,Contained
2026-08-07 13:57:41,bad-actor-c2.xyz,Domain,Russia,RU,82,49,Critical,T1071,Application Layer Protocol,Command and Control,Contained
2026-08-07 15:14:41,a2e3a0834f35ee444cdd832c49190ce51a8e99fd17e82ab9714728d25e91d9a7,File Hash (SHA256),Brazil,BR,46,48,Critical,T1110,Brute Force,Credential Access,Contained
2026-08-07 15:15:41,8aabc1735e9791a50bb96520e8c221c57d65f6c17145628e474c23e7f11ed635,File Hash (SHA256),Iran,IR,53,46,Critical,T1003,OS Credential Dumping,Credential Access,Contained
2026-08-07 15:40:41,update-m365-portal.org,Domain,United States,US,90,50,Critical,T1071,Application Layer Protocol,Command and Control,Active Investigation
2026-08-07 19:00:41,bad-actor-c2.xyz,Domain,United States,US,43,39,Critical,T1059,Command and Scripting Interpreter,Execution,Contained
2026-08-07 20:19:41,75c0c1f23f8426d768e1929dd1717e6cb51d53e7d04a2eeed640c4c87b3c13c3,File Hash (SHA256),Brazil,BR,43,3,High,T1059,Command and Scripting Interpreter,Execution,Investigating
2026-08-07 21:32:41,101.32.91.46,IPv4,Brazil,BR,57,36,Critical,T1110,Brute Force,Credential Access,Contained
2026-08-07 22:34:41,secure-account-auth.net,Domain,Russia,RU,55,49,Critical,T1003,OS Credential Dumping,Credential Access,Contained
2026-08-07 23:51:41,login-verify-update.com,Domain,United Kingdom,GB,18,47,Critical,T1059,Command and Scripting Interpreter,Execution,Active Investigation
2026-08-07 23:54:41,secure-account-auth.net,Domain,United Kingdom,GB,2,12,High,T1071,Application Layer Protocol,Command and Control,Investigating
2026-08-08 01:08:41,7535bd31ac4de9ef62cc92a2f397e19b18f1b149aba185a453867a8fa978245a,File Hash (SHA256),United Kingdom,GB,59,19,High,T1003,OS Credential Dumping,Credential Access,Investigating
2026-08-08 03:00:41,d7ff840f9b23226cd7ff001002cbb2ac216eb6e3f90deb4d27675025c9e11d70,File Hash (SHA256),Iran,IR,49,38,Critical,T1566,Phishing,Initial Access,Contained
2026-08-08 04:08:41,ba1f928084c8f7d17df009ec63dedfa83ea6cb5130a930ffe77ed5faa029529d,File Hash (SHA256),Russia,RU,99,28,Critical,T1110,Brute Force,Credential Access,Active Investigation
2026-08-08 05:14:41,update-m365-portal.org,Domain,Netherlands,NL,34,66,Critical,T1110,Brute Force,Credential Access,Active Investigation
2026-08-08 13:25:41,30e2ff5d27065fd968ff59213b49495c17e4651d24ec15800c7dfd5bb7cd307d,File Hash (SHA256),Iran,IR,85,42,Critical,T1566,Phishing,Initial Access,Contained
2026-08-08 15:17:41,secure-account-auth.net,Domain,United States,US,61,16,High,T1003,OS Credential Dumping,Credential Access,Investigating
2026-08-08 17:52:41,2493d72e65c8e01888b19a2ecb2081f962d49b32c665c2c4c60f15f918d32e46,File Hash (SHA256),Brazil,BR,38,12,High,T1071,Application Layer Protocol,Command and Control,Investigating
2026-08-08 20:11:41,update-m365-portal.org,Domain,North Korea,KP,85,11,Critical,T1071,Application Layer Protocol,Command and Control,Active Investigation
2026-08-08 20:38:41,db648f67d1af36639c3618087d4e48ec2bdf0049d9b78ee935468e233fb13482,File Hash (SHA256),Brazil,BR,8,6,Medium,T1003,OS Credential Dumping,Credential Access,Monitored
2026-08-08 21:40:41,102.21.12.69,IPv4,Germany,DE,87,69,Critical,T1110,Brute Force,Credential Access,Active Investigation
2026-08-08 22:02:41,175.219.175.159,IPv4,Brazil,BR,73,22,High,T1566,Phishing,Initial Access,Investigating
2026-08-08 22:31:41,105.185.47.177,IPv4,Netherlands,NL,15,14,High,T1566,Phishing,Initial Access,Investigating
2026-08-08 23:07:41,311f02f153972aaf23928d8f7cf127c72727bf4bb20366f0f9c7a0f4099521a9,File Hash (SHA256),Netherlands,NL,48,52,Critical,T1059,Command and Scripting Interpreter,Execution,Contained
2026-08-09 00:38:41,login-verify-update.com,Domain,Brazil,BR,75,42,Critical,T1059,Command and Scripting Interpreter,Execution,Contained
2026-08-09 02:37:41,75d7220aad034ca9ef73fb17bbf7ed59e23dc9cc441a12048a6cfa7dec9e6354,File Hash (SHA256),United States,US,81,46,Critical,T1003,OS Credential Dumping,Credential Access,Contained
2026-08-09 02:51:41,0485c34a2a21c63dc51e8323e5102bf1c19ec81778ed579abe9fd28d29c295f9,File Hash (SHA256),North Korea,KP,91,67,Critical,T1110,Brute Force,Credential Access,Contained
2026-08-09 03:00:41,107.191.205.246,IPv4,United Kingdom,GB,84,2,Critical,T1566,Phishing,Initial Access,Contained
2026-08-09 04:22:41,747c3b31a3e79fd312fc5a530370a5a943620d30a6b880990db2356b42feb866,File Hash (SHA256),China,CN,23,6,Medium,T1059,Command and Scripting Interpreter,Execution,Monitored
2026-08-09 05:45:41,d7bae86bcef16d2cc6f217a3705d507c7af4ff70ac4525ceba8f041e0811a334,File Hash (SHA256),Netherlands,NL,27,74,Critical,T1110,Brute Force,Credential Access,Contained
2026-08-09 06:17:41,71.85.212.197,IPv4,Russia,RU,24,11,High,T1566,Phishing,Initial Access,Investigating
2026-08-09 07:43:41,secure-account-auth.net,Domain,North Korea,KP,42,3,High,T1071,Application Layer Protocol,Command and Control,Investigating
2026-08-09 08:58:41,bad-actor-c2.xyz,Domain,North Korea,KP,70,33,Critical,T1566,Phishing,Initial Access,Contained
2026-08-09 09:17:41,b2a20fda114e4f2b57b3d226cbd4ea30cedd5536bb0b98beb01d9c42a16f5fee,File Hash (SHA256),Netherlands,NL,98,49,Critical,T1110,Brute Force,Credential Access,Active Investigation
2026-08-09 09:41:41,bad-actor-c2.xyz,Domain,China,CN,93,71,Critical,T1110,Brute Force,Credential Access,Contained
2026-08-09 11:10:41,76780f45cb35c05fb92cd7ccc096073ab1adc16ea81f206f1570c79c0f67c1a6,File Hash (SHA256),China,CN,93,29,Critical,T1110,Brute Force,Credential Access,Active Investigation
2026-08-09 12:23:41,secure-account-auth.net,Domain,Brazil,BR,56,20,High,T1059,Command and Scripting Interpreter,Execution,Investigating
2026-08-09 13:24:41,38.214.29.188,IPv4,China,CN,23,47,Critical,T1071,Application Layer Protocol,Command and Control,Contained
2026-08-09 13:32:41,104.143.56.247,IPv4,United Kingdom,GB,22,65,Critical,T1059,Command and Scripting Interpreter,Execution,Contained
2026-08-09 14:32:41,login-verify-update.com,Domain,Russia,RU,96,20,Critical,T1003,OS Credential Dumping,Credential Access,Contained
2026-08-09 14:36:41,125.197.204.241,IPv4,United Kingdom,GB,81,24,Critical,T1071,Application Layer Protocol,Command and Control,Contained
2026-08-09 15:57:41,204.71.228.114,IPv4,North Korea,KP,82,62,Critical,T1566,Phishing,Initial Access,Contained
2026-08-09 16:27:41,120002b74866c8f6a230e0012e67e4c26897b180e07caebde4cda8068f49ebe7,File Hash (SHA256),North Korea,KP,45,16,High,T1071,Application Layer Protocol,Command and Control,Investigating
2026-08-09 17:17:41,54.85.56.224,IPv4,Germany,DE,67,3,High,T1003,OS Credential Dumping,Credential Access,Investigating
2026-08-09 18:27:41,bce451b98d7f11e7a7a8d528bd392f6bc5d2353b9970e255fd2fe873665a8c0d,File Hash (SHA256),Russia,RU,22,21,High,T1059,Command and Scripting Interpreter,Execution,Investigating
2026-08-09 19:18:41,189.138.48.80,IPv4,Netherlands,NL,83,33,Critical,T1566,Phishing,Initial Access,Contained
2026-08-09 21:15:41,0658c20a34a54cd77204210c596b11a07ea22e6a7cc4229efa1460610ce18d5b,File Hash (SHA256),China,CN,55,18,High,T1110,Brute Force,Credential Access,Investigating
2026-08-09 21:42:41,54.172.18.114,IPv4,Germany,DE,2,74,Critical,T1566,Phishing,Initial Access,Contained
2026-08-09 22:27:41,fad0cbf26129d4935dcc0798a6617e82ed64ca492b5bea1bf91828fb2d42b8f7,File Hash (SHA256),Netherlands,NL,63,18,High,T1059,Command and Scripting Interpreter,Execution,Investigating
2026-08-09 22:34:41,691c57153063031649622428700becaef438a93ce6d56028605d71c3867178cd,File Hash (SHA256),Netherlands,NL,57,10,High,T1110,Brute Force,Credential Access,Investigating
2026-08-09 22:38:41,202.127.121.162,IPv4,China,CN,54,36,Critical,T1003,OS Credential Dumping,Credential Access,Contained
2026-08-10 00:32:41,bad-actor-c2.xyz,Domain,United States,US,73,19,High,T1059,Command and Scripting Interpreter,Execution,Investigating
2026-08-10 01:57:41,1763accc0c89123dcbe2e5578b777e08a08ae25171b7fbc8655e6076fe8549c5,File Hash (SHA256),Netherlands,NL,46,8,High,T1059,Command and Scripting Interpreter,Execution,Investigating
2026-08-10 04:44:41,155.46.241.90,IPv4,Iran,IR,20,57,Critical,T1071,Application Layer Protocol,Command and Control,Contained
2026-08-10 07:27:41,f191dc1013c554a926c22cdfea92d54909fd12d09e1de941599263363895f560,File Hash (SHA256),United States,US,100,36,Critical,T1566,Phishing,Initial Access,Contained
2026-08-10 08:24:41,f658f1da5041883771ca8a86cdb855a94c365517ff56ba69386a15b9ed2820d2,File Hash (SHA256),China,CN,17,6,Medium,T1059,Command and Scripting Interpreter,Execution,Monitored
2026-08-10 10:32:41,108.61.86.6,IPv4,North Korea,KP,91,26,Critical,T1059,Command and Scripting Interpreter,Execution,Contained
2026-08-10 11:05:41,secure-account-auth.net,Domain,Netherlands,NL,24,25,High,T1566,Phishing,Initial Access,Investigating
2026-08-10 12:15:41,bad-actor-c2.xyz,Domain,Russia,RU,21,49,Critical,T1566,Phishing,Initial Access,Active Investigation
2026-08-10 16:25:41,ebe00097c9cb6ea68a5ddd13375c7922b2bab27d99ac4123c633c8a4edb58cc4,File Hash (SHA256),United Kingdom,GB,41,53,Critical,T1059,Command and Scripting Interpreter,Execution,Contained
2026-08-10 19:14:41,update-m365-portal.org,Domain,United States,US,22,64,Critical,T1566,Phishing,Initial Access,Contained
2026-08-10 19:32:41,update-m365-portal.org,Domain,United Kingdom,GB,69,45,Critical,T1003,OS Credential Dumping,Credential Access,Active Investigation
2026-08-10 19:48:41,22.221.113.112,IPv4,Germany,DE,39,21,High,T1566,Phishing,Initial Access,Investigating
2026-08-10 20:28:41,d5cd4809d40441b6755e2409750f653dcac28745f670d5e49426be6510065e7c,File Hash (SHA256),Germany,DE,35,51,Critical,T1566,Phishing,Initial Access,Contained
2026-08-10 21:55:41,89.224.162.59,IPv4,China,CN,51,32,Critical,T1003,OS Credential Dumping,Credential Access,Contained
2026-08-10 22:40:41,759e461f36bf90c723533681eddddfb06acf72741b11239fc06317286d26910f,File Hash (SHA256),United States,US,99,46,Critical,T1003,OS Credential Dumping,Credential Access,Contained
2026-08-10 23:25:41,94.21.34.220,IPv4,Brazil,BR,78,43,Critical,T1071,Application Layer Protocol,Command and Control,Contained
2026-08-10 23:48:41,ba67f8a4ccef865a9156796aedc2e107e049c20298024e1b596fa74902065caa,File Hash (SHA256),Brazil,BR,17,30,High,T1071,Application Layer Protocol,Command and Control,Investigating
2026-08-11 00:07:41,186.215.50.160,IPv4,Netherlands,NL,38,26,High,T1071,Application Layer Protocol,Command and Control,Investigating
2026-08-11 00:27:41,login-verify-update.com,Domain,Netherlands,NL,67,19,High,T1071,Application Layer Protocol,Command and Control,Investigating
2026-08-11 00:56:41,106.38.169.15,IPv4,Iran,IR,93,0,Critical,T1059,Command and Scripting Interpreter,Execution,Contained
2026-08-11 01:05:41,35.142.44.232,IPv4,North Korea,KP,23,22,High,T1071,Application Layer Protocol,Command and Control,Investigating
2026-08-11 04:09:41,login-verify-update.com,Domain,China,CN,78,23,Critical,T1071,Application Layer Protocol,Command and Control,Contained
2026-08-11 04:13:41,ed924326b0f4a1091af83a0fd037538c8091202dd1020428f6707a5844545aef,File Hash (SHA256),Iran,IR,57,6,High,T1566,Phishing,Initial Access,Investigating
2026-08-11 06:25:41,123.128.98.91,IPv4,United States,US,33,69,Critical,T1110,Brute Force,Credential Access,Active Investigation
2026-08-11 07:23:41,2.88.242.224,IPv4,North Korea,KP,64,67,Critical,T1003,OS Credential Dumping,Credential Access,Contained
2026-08-11 09:51:41,26.235.37.88,IPv4,Germany,DE,86,12,Critical,T1003,OS Credential Dumping,Credential Access,Contained
2026-08-11 10:11:41,03e2ad49e09e0a12929971797ba1dca781fc5cecdbad972795f8bb54efe7c9b6,File Hash (SHA256),China,CN,47,24,High,T1003,OS Credential Dumping,Credential Access,Investigating
2026-08-11 11:07:41,update-m365-portal.org,Domain,Germany,DE,54,9,High,T1071,Application Layer Protocol,Command and Control,Investigating
2026-08-11 11:54:41,6db00303acefee7baccc74be84934cabe69827d5780bd097b0b07fc75dac0a5f,File Hash (SHA256),United States,US,5,27,High,T1059,Command and Scripting Interpreter,Execution,Investigating
2026-08-11 13:34:41,51.169.236.238,IPv4,United Kingdom,GB,46,7,High,T1003,OS Credential Dumping,Credential Access,Investigating
2026-08-11 14:00:41,a3b12158f0f1cb80a0e6752fec097c6bca26f36b97003d166deef4ffe37b141b,File Hash (SHA256),China,CN,58,12,High,T1071,Application Layer Protocol,Command and Control,Investigating
2026-08-11 15:00:41,bad-actor-c2.xyz,Domain,Brazil,BR,88,9,Critical,T1110,Brute Force,Credential Access,Active Investigation
2026-08-11 17:28:41,update-m365-portal.org,Domain,Germany,DE,12,8,Medium,T1003,OS Credential Dumping,Credential Access,Monitored
2026-08-11 18:16:41,3b768a9ee42c15d5f6e5c7bf8df12166363ba5fe763c6f9a6c2cd6f82cf0face,File Hash (SHA256),United States,US,57,37,Critical,T1059,Command and Scripting Interpreter,Execution,Contained
2026-08-11 18:22:41,bad-actor-c2.xyz,Domain,North Korea,KP,60,18,High,T1566,Phishing,Initial Access,Investigating
2026-08-11 18:38:41,6fb5ed6c3c92bda0d8107e460af416f29c72bdbef2b16ec7e40de74183066327,File Hash (SHA256),Netherlands,NL,30,8,Medium,T1566,Phishing,Initial Access,Monitored
2026-08-11 18:55:41,login-verify-update.com,Domain,United Kingdom,GB,98,71,Critical,T1003,OS Credential Dumping,Credential Access,Contained
2026-08-11 19:26:41,39.208.126.121,IPv4,China,CN,22,25,High,T1003,OS Credential Dumping,Credential Access,Investigating
2026-08-11 22:16:41,9c9281c128aa4ff4bbeb45cf7799427dcebedb186b59538a857d3a80a29a3608,File Hash (SHA256),United Kingdom,GB,65,24,High,T1059,Command and Scripting Interpreter,Execution,Investigating
2026-08-11 22:34:41,update-m365-portal.org,Domain,North Korea,KP,33,2,Medium,T1059,Command and Scripting Interpreter,Execution,Monitored
2026-08-11 23:11:41,login-verify-update.com,Domain,North Korea,KP,68,62,Critical,T1071,Application Layer Protocol,Command and Control,Active Investigation
2026-08-12 01:05:41,bb1559f8cadec3e7f6182cd84614063dced66e4f44b37d28d64c24645488f136,File Hash (SHA256),Netherlands,NL,0,4,Medium,T1110,Brute Force,Credential Access,Monitored
2026-08-12 06:41:41,3e4e5c4793135fce1ed4bd06fdd0261d2dd0ce10f693648a99832f327811356f,File Hash (SHA256),China,CN,39,24,High,T1110,Brute Force,Credential Access,Investigating
2026-08-12 07:34:41,secure-account-auth.net,Domain,China,CN,83,16,Critical,T1566,Phishing,Initial Access,Contained
2026-08-12 08:21:41,74.207.3.230,IPv4,United States,US,95,10,Critical,T1110,Brute Force,Credential Access,Contained
2026-08-12 08:31:41,login-verify-update.com,Domain,Russia,RU,30,50,Critical,T1110,Brute Force,Credential Access,Active Investigation
2026-08-12 08:31:41,24.144.239.251,IPv4,Netherlands,NL,57,15,High,T1110,Brute Force,Credential Access,Investigating
2026-08-12 10:07:41,82.91.20.162,IPv4,Iran,IR,93,29,Critical,T1059,Command and Scripting Interpreter,Execution,Active Investigation
2026-08-12 11:03:41,4166ffe77e7ef9769736e5388fb0cfa1a0388be81d28e3f4378b7ccf9e297947,File Hash (SHA256),Brazil,BR,15,65,Critical,T1003,OS Credential Dumping,Credential Access,Contained
2026-08-12 11:39:41,bad-actor-c2.xyz,Domain,Russia,RU,41,18,High,T1566,Phishing,Initial Access,Investigating
2026-08-12 11:43:41,87.42.141.234,IPv4,Iran,IR,82,16,Critical,T1059,Command and Scripting Interpreter,Execution,Contained
2026-08-12 11:49:41,18260143e17627de62e3a3c31b3dfbc32e78e91bb396aa54d971bce2caf06ded,File Hash (SHA256),Germany,DE,13,5,Medium,T1059,Command and Scripting Interpreter,Execution,Monitored
2026-08-12 13:06:41,209.217.27.219,IPv4,United States,US,82,56,Critical,T1071,Application Layer Protocol,Command and Control,Contained
2026-08-12 16:12:41,secure-account-auth.net,Domain,Iran,IR,51,34,Critical,T1566,Phishing,Initial Access,Active Investigation
2026-08-12 18:25:41,9b173f8e376e5af0e25bb0886240d51c0956ba8dfc9d32247ba7b150aa292427,File Hash (SHA256),United Kingdom,GB,84,60,Critical,T1003,OS Credential Dumping,Credential Access,Active Investigation
2026-08-12 20:41:41,675eeaf2330f92b94bcf21b719badc5bdac8050d07bac41e81a60be6443dd61a,File Hash (SHA256),Netherlands,NL,72,42,Critical,T1071,Application Layer Protocol,Command and Control,Contained
2026-08-12 21:28:41,e2d871b3026221aa020d1273b1ee7549ce46b680b4ae01b588d028ffe826cbba,File Hash (SHA256),North Korea,KP,45,7,High,T1110,Brute Force,Credential Access,Investigating
2026-08-12 22:01:41,login-verify-update.com,Domain,Netherlands,NL,21,62,Critical,T1071,Application Layer Protocol,Command and Control,Active Investigation
2026-08-12 23:32:41,161.22.249.209,IPv4,United Kingdom,GB,78,71,Critical,T1059,Command and Scripting Interpreter,Execution,Contained
2026-08-13 01:07:41,14.142.231.20,IPv4,China,CN,74,37,Critical,T1071,Application Layer Protocol,Command and Control,Contained
2026-08-13 01:41:41,219.148.40.254,IPv4,Iran,IR,0,27,High,T1003,OS Credential Dumping,Credential Access,Investigating
2026-08-13 01:52:41,update-m365-portal.org,Domain,Iran,IR,13,38,Critical,T1059,Command and Scripting Interpreter,Execution,Contained
2026-08-13 02:10:41,37.37.70.230,IPv4,China,CN,74,1,High,T1566,Phishing,Initial Access,Investigating
2026-08-13 05:39:41,177.43.51.47,IPv4,Netherlands,NL,41,71,Critical,T1110,Brute Force,Credential Access,Contained
2026-08-13 05:50:41,update-m365-portal.org,Domain,United States,US,52,71,Critical,T1566,Phishing,Initial Access,Contained
2026-08-13 07:19:41,bad-actor-c2.xyz,Domain,Russia,RU,19,12,High,T1003,OS Credential Dumping,Credential Access,Investigating
2026-08-13 07:51:41,d7136fde7a2574003d7385a63aea7a6ab801f1bbf72362ca966f7a77fa30f2d3,File Hash (SHA256),United Kingdom,GB,40,7,Medium,T1003,OS Credential Dumping,Credential Access,Monitored
2026-08-13 08:27:41,75.114.158.248,IPv4,Russia,RU,14,42,Critical,T1059,Command and Scripting Interpreter,Execution,Contained
2026-08-13 08:54:41,login-verify-update.com,Domain,United States,US,16,56,Critical,T1566,Phishing,Initial Access,Active Investigation
